Accession	pos-1	pos-2	pos-3	con-1	con-2	con-3
Q6MZL2	-0.0638369736439183	-0.155842113851505	-0.103780769944728	0.251659145990609	0.18762793001084	0.0636780400567318
O75144	-0.0124358270420425	-0.0297609308854989	-0.242663598392926	0.272147795856081	0.188171644766764	0.0996520001577159
P36955	0.0301218070226705	-0.176807202930996	-0.25713046810694	0.270027950417812	0.10729243428915	0.0864401043888028
P08697	-0.132576646764966	-0.0659631862031848	-0.2165423184336	0.232594307529974	0.0999368022942128	0.116875807162458
O75882	-0.138272147054629	-0.134652558192693	-0.149141302236581	0.160436224617529	0.15895667026792	0.129520843007831
A9Z1X1	0.0386693245573537	-0.0927196420712661	-0.251030290926654	0.260577339672558	0.190928350009597	0.164458778434494
P02790	-0.00650309233691982	-0.301606496977993	-0.176999942272892	0.218967937972358	0.190770472718426	0.0373309244282514
P04040	0.008949319514741	-0.0438267362001646	-0.204386422646015	0.347416299758433	0.204955749610924	0.140141565118047
P10599	-0.0291666857672841	-0.204647966326689	-0.0537396477100458	0.233564362501659	0.29214403222838	0.124167461368454
P14174	-0.0935541828636033	-0.0454580915776438	0.0354198450431341	0.312967804843513	0.274709444471995	0.264114190857462
P55290	-0.0575531580579743	-0.104217123567188	-0.253777898159409	0.313804658736569	0.137303216865059	0.0841282656514532
Q16610	-0.0617483083095661	-0.117265370960596	-0.170576211186163	0.271076586815997	0.174038864888273	0.171747000213594
Q59GR5	-0.13645092987695	-0.0229439964122244	-0.163288093791816	0.353287942256629	0.151253491095895	0.13492374264056
P00558	-0.119361302173456	-0.0741909756217154	-0.0657910583737788	0.17178476003494	0.207080615640418	0.328032213328519
B4E1C4	-0.0888061547608517	-0.159360962506443	-0.23596408170994	0.200819675188146	0.177248068760031	0.117324766043383
A2RTY6	-0.0400089882602365	-0.184748366254936	-0.258469970894974	0.297827066233538	0.150273333010481	0.0488331114093793
B7Z539	0.00294280516587646	-0.221302044390168	-0.225062122984991	0.285229708129892	0.199010200610412	0.06143554137527
F5H2R5	-0.049211651707189	-0.225439796777648	-0.140004251891787	0.296161464082001	0.237007307822346	0.0366717189185599
B4DN75	-0.223470922906132	-0.0275363972802311	-0.108556222366138	0.257620880696968	0.175111070009199	0.2116264365858
D6RGX8	-0.247625414478881	-0.270631448863103	-0.0447791461133538	0.170442139091218	0.290563770862743	0.00188863676310559
B4DN21	-0.19596703181471	-0.0212495374301736	-0.244719418727037	0.321750080787716	0.137013107941334	0.119728209206942
Q8WUW7	-0.0528930896310271	-0.0804223179930145	-0.173118109026523	0.318160963566156	0.270396660496913	0.148177181148268
B7Z6Y5	-0.105120833801751	-0.115766677019847	-0.244767526966062	0.252244908444155	0.342606044527245	0.013653468707115
P24593	-0.193523057522013	-0.0970238354566957	-0.149420821994471	0.291802249691465	0.184398184201358	0.187517252880098
A8K6K4	0.0700470242214661	-0.243361109924826	-0.252008524635894	0.238408182611085	0.386153194786701	0.0920500320571741
B0AZL7	-0.102101803991224	-0.227065239294666	-0.151722890592246	0.249319020163996	0.268170443406231	0.150886375651808
P49908	-0.186663386105559	-0.144583596382576	-0.282299068155018	0.274092585799568	0.165070041257853	0.118954065902084
E3UN46	-0.101664343797591	-0.234202405073931	-0.285518338643839	0.215981502222299	0.213520106588798	0.154042029558113
Q16627	-0.149751556570567	-0.14186859824026	-0.218627935121077	0.307133751770458	0.230036930643216	0.17615827015798
P27918	-0.39593551458268	-0.21474827975933	0.0671035747112339	0.315896102923557	0.283711743590362	0.117179711102392
Q6Y1H2	-0.18148190202219	-0.222343471550318	-0.218849440179789	0.288199800364079	0.194355740936008	0.126051360951689
P03952	-0.158709887709191	-0.223336200207439	-0.258450207720378	0.249008679547447	0.212528845144977	0.133838036392477
A0A0U2N547	-0.0851543632843477	-0.139164408990898	-0.482852402989808	0.264153528920196	0.235010152976311	0.0551571023424213
B2R815	-0.236040179776688	-0.00978069833726986	-0.242177192436395	0.310626959132297	0.349140010092523	0.102817799253292
Q9NSY8	-0.209728958045103	-0.16401211002826	-0.0673537475582359	0.435115062299486	0.17811293844679	0.208227156275764
A6XND0	-0.110102869619488	-0.207915296755322	-0.20999862083323	0.218022145765642	0.361409910687986	0.182654619005728
A0A024R462	-0.133570252845213	-0.0561844815188557	-0.216980274922785	0.379733550636522	0.276306818348802	0.237117181917002
P30043	-0.238282990726582	0.000602100030537259	-0.0988020730961863	0.342756029005753	0.448330848635616	0.169553289314216
Q9P1C5	-0.019007602348944	-0.323453305778241	-0.329842744915386	0.337760583100534	0.181428994223216	0.129520823035941
B4DZM1	-0.127959715075556	-0.257557308583399	-0.301631572234456	0.296534931681584	0.189888314217277	0.158142174914412
P80108	-0.293226763513683	-0.0528696442176785	-0.264394260187441	0.330800474580861	0.277327559491433	0.133454132234305
Q17RQ9	-0.220309780042007	0.0291414954930482	-0.281232926609485	0.365140821760647	0.347521465137841	0.179229899467427
Q9Y5Y7	-0.0580157228142906	-0.218238783542061	-0.223661191262608	0.428815088359359	0.280438689953337	0.176896758386156
P54289	0.0145703779956698	-0.124158600625864	-0.458071543639279	0.402362982369087	0.241482649030579	0.212958573322357
Q8NC59	-0.0763929380345167	-0.253560705108473	-0.310317537784208	0.35475873783475	0.355565218349913	0.0287672859310031
B4DM82	-0.0342174818513542	-0.202437840634176	-0.227419416091747	0.564872768790333	0.164764564717146	0.263677998874172
Q96PD5	-0.118067692352674	-0.239136646782716	-0.398147546518972	0.372669106027832	0.205486693265092	0.172578542323672
P27169	-0.210088558164623	-0.0904897394984032	-0.459146182367971	0.404865405995183	0.310027373218708	0.103646186536546
A0A1B0GTV0	-0.464808533136713	0.0934136000622196	-0.275378791921513	0.294910616864772	0.401564159936624	0.286829925098498
P02765	-0.13859583503139	-0.251843662022527	-0.349765853487737	0.436857878013745	0.148642947426321	0.253031755182563
B2R6V9	-0.194185490638058	-0.0802780239563236	-0.209379960865822	0.48876076981634	0.308352763013286	0.323443374345699
Q9NZD4	-0.203614884988542	-0.0329649948458825	-0.568992220477857	0.439970474515469	0.338717597202553	0.0547356348770186
Q9NTU7	-0.12642735024593	-0.133117015418018	-0.46513987906352	0.403797327811819	0.412230699393954	0.0866095518202545
B7Z556	-0.0780213665889882	-0.299105460975294	-0.357165614237094	0.475007106889681	0.163705840459699	0.277036455081339
M0R2W8	-0.233521282187323	-0.254819400537269	-0.429290648595619	0.333679699815527	0.347743118354726	0.146532304219251
P43652	-0.21789018457421	-0.228636366686036	-0.423733672561214	0.299376907467772	0.330985903712313	0.262697134807267
A0A0K0K1L1	-0.161555388246287	-0.0813253264633547	-0.341777583677083	0.571876246179796	0.285550146386233	0.320741100069757
Q8NDA2	-0.0927360328856375	-0.279094599769143	-0.378707053292347	0.247314431190017	0.629540097430361	0.125386886748509
A0A024CIM4	-0.276711672194711	-0.268810718192319	-0.329070507413538	0.389157363544012	0.337144558881631	0.189533967683958
Q5VY30	-0.306599980712806	-0.119072271591409	-0.430571512427648	0.357674936983508	0.401114585977846	0.24283855268419
P06727	0.0179923904337002	-0.385871749429853	-0.484174047295934	0.504862055607257	0.268854436718925	0.257050037684478
B2R582	-0.0465759127805804	-0.492190768345242	-0.431682419743549	0.399565298509692	0.244048073872833	0.27201117037877
Q6UXB8	-0.205547203574581	-0.232019272686357	-0.453905623114838	0.462540012833628	0.348965902106663	0.180039274463811
R4GN98	-0.321320910818248	-0.289996251251807	-0.287702351246695	0.381900937511363	0.39331194495725	0.208606305523838
Q99592	-0.385432845541	-0.294400368718625	-0.364081314228965	0.43747889220412	0.0968096562187386	0.29639996934233
H7C0N0	-0.477837575035424	-0.421651835492163	-0.39869075128809	0.39138698884804	0.160677578332737	0.0331223220810774
E7EQB2	-0.120819792976622	-0.269015865476829	-0.321104076813175	0.583549182446548	0.304689177374663	0.309993621565565
P05452	-0.335701882781337	-0.0120326795863738	-0.402265154849542	0.361213961244066	0.558929852782271	0.270724662354492
H0YFS1	-0.884996485664181	-0.205573440141359	0.0523815190053078	0.393780916849039	0.426386125337922	0.235559762285989
F8WBR5	-0.196290776668419	-0.321818653205172	-0.30499383971895	0.611458297339786	0.480332306383586	-0.0305454311340143
P00568	-0.230431862251566	-0.175579694101831	-0.38131017054136	0.47983951522276	0.408294054723354	0.323559890657748
B2R8I2	-0.437444990731621	-0.19662302025009	-0.445376463409318	0.344924778491124	0.0923840802914617	0.52842488515
B2RAN2	-0.284323558261637	-0.300885743959508	-0.381101420447389	0.466668546332957	0.433692158486323	0.226364648106568
P26447	-0.345447554078236	-0.119771001149297	-0.285342060904912	0.656556478922565	0.361978043339391	0.35850260367517
P06396	-0.260630631896281	-0.250694623220913	-0.624603997054416	0.473016582545397	0.39398858184878	0.365177180799832
P00915	-0.218015741315154	-0.162573983565917	-0.616475012002175	0.680151465912419	0.503293672689496	0.347742250472248
F6KPG5	-0.675140498180505	-0.174138623600134	-1.02496995308608	-0.101887929031939	0.414040304119476	0.588020580949546
B4DF70	-0.371429396417185	-0.237271598135759	-0.593063172407166	0.714507791302007	0.544739594053921	0.428308837392143
K7ELP7	-2.2347346468565	-0.301861669725939	-0.089809519902768	0.58253870647958	0.636697204038772	0.367114802899706
P02647	-0.942844372355368	-0.399173859740309	-0.406194818341934	0.373293854947473	0.564280862168263	0.839264786730089
Q53H26	-0.774373009512992	-0.478869770379386	-0.811847682967939	0.591127804049386	0.628988352007624	1.06650825654214
