id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,group
con20,-2.761488067,0.983692092,-0.094561575,-0.484786859,-0.434843127,0.081027383,-0.164539205,-0.170973304,-0.389131827,0.072590606,-0.226478454,-0.415331953,-0.472614117,0.040710758,0.005998486,con
con21,4.023543642,3.271291787,3.05954319,1.222626261,1.07310225,-1.021869214,-1.278806902,-0.614930015,-1.025935471,-0.125214137,-0.705549076,-0.90168988,1.054458402,-0.195068389,0.072218701,con
con22,0.125081755,1.850919705,0.685542498,-0.079033252,1.085717359,0.162963388,-0.764577351,-0.798991064,0.594899726,0.398720057,0.312362901,0.599920686,-0.353492744,0.183985958,-0.253575514,con
con23,0.876068242,2.360119984,-0.608448609,-0.231850743,0.3956024,-0.591613422,0.571056725,0.473938226,0.663211529,-0.547744875,0.198980693,-0.439393597,0.752041347,-0.089674113,-0.041517781,con
con25,1.520570803,2.728544787,-1.216400332,-1.520781219,-0.104632119,-0.126709752,0.928434295,0.461724104,0.466104072,-0.32163983,-0.504314138,0.12955369,0.68259828,0.318313401,0.296593161,con
con26,-1.288771155,1.481683292,-0.060255515,-0.13858793,0.950008434,-0.15626758,0.36579201,-0.500203768,-0.7386717,-0.513021487,-0.162308524,0.379041008,-0.243499839,-0.271143837,-0.261396254,con
con27,0.732505969,2.093859428,-0.35875493,-1.099335039,0.109693961,-0.030157481,0.731529379,0.417656035,-0.29976145,0.381623367,0.146076826,-0.499043519,-0.431485864,-0.11075649,0.000235579,con
con28,-0.333225379,1.904393985,-0.49076527,-0.207318064,0.635584631,-0.06301925,0.54224165,0.331083966,0.09930871,0.077257407,-0.319562798,-0.222646652,0.635854129,-0.279984224,0.201653707,con
con29,-1.350644086,1.357420204,-0.700095934,-0.901363654,-0.936167745,-0.192789554,1.225036388,-0.206957859,-0.780988798,-0.86895445,-0.196868002,0.404663699,0.531433806,-0.43476321,-0.287778326,con
con3,2.225318274,2.072859688,0.403398141,0.158659254,1.169784939,0.463302787,0.356111557,-0.276637864,0.140256525,-0.118950804,-0.318274565,0.474803297,-0.225221936,-0.471914481,-0.117641294,con
con31,0.522680798,1.493231775,0.323879798,-0.976180974,-1.616986601,0.259094336,0.372025351,0.18986136,-0.310814157,-0.365292714,-0.269543165,-0.431251002,0.02911783,0.316963135,0.164538197,con
con33,1.114864993,2.979895607,0.42901949,-0.392750042,-1.461651016,-5.222926026,0.449048037,1.352379554,0.489805358,-0.896035003,0.129999336,0.358189771,-0.968169141,-0.076873128,-0.03301395,con
con34,0.865360421,2.114858615,-0.292740466,-0.142385092,1.118195359,-0.817331406,-0.329151806,0.174026431,0.132405506,0.127545299,0.34959668,0.694014411,-0.121626843,0.138221147,-0.035060678,con
con4,1.411623489,2.647750805,-0.107723325,-0.163424371,0.556015788,-0.821707597,0.363126404,0.282573403,0.913829846,-0.029846186,0.088340048,0.089571084,0.098656834,-0.094488322,0.041558887,con
con6,2.258775765,2.073785574,1.442992466,-0.589715382,-1.633603895,0.675021489,-0.194261484,-0.019822646,0.893212584,1.482431284,0.479620084,-0.20552916,-0.342944975,-0.105926439,-0.065497515,con
con7,3.706419649,1.81116615,-2.919721922,-1.330896457,-0.081383153,1.202024109,2.31197408,0.059401986,-0.418450776,0.765862073,0.740342531,0.105300984,-0.110039946,0.056116035,-0.079335138,con
con8,3.605502134,1.320940682,-0.323586103,-1.465526482,-0.819897366,1.041193955,0.499197775,0.228021729,0.911478854,0.562712378,-0.084521039,0.145444079,0.156571161,0.029471558,-0.418897615,con
con9,-0.651991898,1.283727978,-1.199193126,-0.532378345,0.701122446,0.901830227,0.720541629,-0.337251561,-0.053258624,-0.280492321,-0.206289221,0.840344477,0.354394899,-0.073908472,-0.03626478,con
neg1,0.770317801,-0.768025976,1.20100412,2.590294589,-0.525073464,-0.68563705,0.631116365,0.366031047,0.131907168,0.639468898,0.339062805,0.230698227,0.287161153,-0.207160803,0.00015955,neg
neg10,-1.46385842,0.232029551,-0.050371611,0.626025939,0.547142481,-1.032343831,-0.145157443,0.613781357,-0.066595348,0.891786743,-0.162732268,0.354659195,0.281375493,-0.046041582,0.258798484,neg
neg11,-0.071683441,-2.394151741,0.649529973,0.260367188,-0.364676908,-1.491854216,0.725231192,0.564285621,-0.116661822,1.042969617,0.015064469,0.51532423,0.245685323,-0.290365987,0.049739992,neg
neg12,-0.500223382,1.0230477,0.514764867,0.075486321,0.033740166,-1.011854439,-0.721844371,0.083460059,0.474946569,0.161891975,-0.436423284,-0.47599768,0.242306068,0.028712824,-0.167333151,neg
neg13,-2.368639126,0.551764021,-0.310415687,0.312947162,1.05489583,0.633652408,0.04581175,-0.000276773,-0.71610412,-0.266682884,-0.301088528,0.261884728,-0.006297917,0.330134038,0.336771466,neg
neg14,1.093890283,-0.364570493,0.75402343,1.795562777,0.559970994,0.766873364,0.305404598,-0.745976968,1.997553,-0.375913412,0.29456374,0.107062171,-0.036157057,-0.50383034,-0.235906223,neg
neg15,-0.692505049,-1.00785004,0.125200628,-0.439907101,0.213175951,0.37992001,-0.633547654,-0.794590116,0.731601515,0.390965848,-0.58061081,0.366940482,-0.342376094,-0.359737767,1.110462308,neg
neg16,-1.707652686,0.392272434,-0.214681296,0.572071383,-0.095295154,0.552004941,0.31655596,0.070215237,-0.455475193,-0.018989905,0.526703689,-0.02908687,0.370842311,-0.170095908,0.026572594,neg
neg17,-2.944768541,-0.228752076,-0.396873584,-0.066462214,-0.277410931,0.307772306,-0.031158718,-0.171953582,-0.168518896,0.188242678,-0.024032342,-0.313543866,-0.168240349,-0.086601836,-0.20056211,neg
neg18,-2.427807429,-1.372926251,-0.12344708,-0.8821539,0.662477088,-0.171753329,-0.150718948,-0.779141784,0.22898288,0.243625413,0.332242486,-0.310266126,-0.122903319,-0.437862123,0.375926018,neg
